iter	Passed	Remaining
1246	9314	65383
1247	9322	65376
1248	9329	65369
1249	9337	65362
1250	9345	65355
1251	9352	65344
1252	9359	65335
1253	9366	65327
1254	9373	65316
1255	9380	65307
1256	9387	65295
1257	9394	65286
1258	9401	65274
1259	9409	65266
1260	9416	65256
1261	9423	65245
1262	9430	65238
1263	9436	65220
1264	9444	65216
1265	9452	65208
1266	9460	65205
1267	9468	65205
1268	9476	65203
1269	9485	65201
1270	9492	65189
1271	9500	65188
1272	9507	65181
1273	9516	65180
1274	9525	65184
1275	9533	65177
1276	9541	65179
1277	9549	65175
1278	9558	65176
1279	9566	65173
1280	9575	65171
1281	9583	65169
1282	9596	65199
1283	9605	65201
1284	9612	65193
1285	9619	65180
1286	9627	65180
1287	9635	65174
1288	9642	65160
1289	9648	65149
1290	9656	65141
1291	9663	65129
1292	9669	65116
1293	9677	65108
1294	9684	65098
1295	9691	65091
1296	9698	65080
1297	9706	65071
1298	9714	65066
1299	9721	65058
1300	9728	65050
1301	9736	65045
1302	9744	65042
1303	9752	65038
1304	9759	65023
1305	9766	65012
1306	9773	65003
1307	9781	64997
1308	9788	64990
1309	9796	64983
1310	9804	64979
1311	9811	64970
1312	9817	64955
1313	9824	64942
1314	9831	64935
1315	9839	64926
1316	9846	64918
1317	9854	64913
1318	9862	64907
1319	9868	64893
1320	9875	64884
1321	9883	64879
1322	9891	64876
1323	9898	64866
1324	9907	64864
1325	9914	64855
1326	9921	64846
1327	9929	64839
1328	9937	64837
1329	9945	64834
1330	9954	64832
1331	9962	64828
1332	9970	64824
1333	9978	64819
1334	9986	64816
1335	9993	64805
1336	10001	64805
1337	10010	64803
1338	10017	64798
1339	10025	64789
1340	10032	64779
1341	10040	64774
1342	10047	64766
1343	10063	64810
1344	10070	64804
1345	10078	64796
1346	10085	64790
1347	10093	64783
1348	10101	64778
1349	10109	64776
1350	10115	64761
1351	10123	64756
1352	10131	64753
1353	10140	64749
1354	10146	64735
1355	10153	64724
1356	10159	64708
1357	10167	64704
1358	10175	64699
1359	10183	64692
1360	10190	64682
1361	10196	64668
1362	10203	64659
1363	10211	64653
1364	10219	64646
1365	10227	64642
1366	10235	64640
1367	10243	64634
1368	10253	64641
1369	10262	64644
1370	10269	64635
1371	10277	64631
1372	10286	64634
1373	10294	64627
1374	10301	64621
1375	10309	64611
1376	10315	64599
1377	10322	64589
1378	10331	64591
1379	10340	64588
1380	10347	64582
1381	10355	64576
1382	10364	64575
1383	10372	64572
1384	10380	64570
1385	10387	64555
1386	10394	64548
1387	10402	64540
1388	10410	64541
1389	10420	64548
1390	10426	64530
1391	10434	64523
1392	10443	64530
1393	10453	64536
1394	10462	64539
1395	10472	64543
1396	10490	64602
1397	10500	64610
1398	10509	64610
1399	10519	64620
1400	10532	64642
1401	10542	64652
1402	10553	64665
1403	10564	64680
1404	10576	64698
1405	10586	64710
1406	10596	64714
1407	10610	64750
1408	10621	64761
1409	10630	64763
1410	10642	64782
1411	10651	64786
1412	10660	64783
1413	10669	64786
1414	10676	64774
1415	10685	64774
1416	10693	64770
1417	10702	64774
1418	10710	64771
1419	10720	64777
1420	10730	64785
1421	10740	64789
1422	10749	64789
1423	10757	64788
1424	10766	64790
1425	10775	64786
1426	10782	64779
1427	10790	64771
1428	10799	64771
1429	10806	64762
1430	10815	64765
1431	10823	64761
1432	10833	64769
1433	10841	64759
1434	10848	64749
1435	10854	64731
1436	10860	64716
1437	10867	64707
1438	10875	64701
1439	10883	64697
1440	10890	64684
1441	10899	64688
1442	10907	64684
1443	10917	64686
1444	10925	64685
1445	10932	64672
1446	10938	64655
1447	10945	64646
1448	10952	64631
1449	10958	64617
1450	10966	64611
1451	10975	64615
1452	10984	64612
1453	10991	64605
1454	10999	64596
1455	11006	64585
1456	11013	64578
1457	11020	64567
1458	11028	64561
1459	11034	64545
1460	11042	64539
1461	11050	64532
1462	11065	64568
1463	11072	64562
1464	11081	64561
1465	11089	64553
1466	11096	64543
1467	11103	64531
1468	11110	64520
1469	11118	64515
1470	11125	64506
1471	11133	64501
1472	11141	64495
1473	11149	64493
1474	11157	64488
1475	11165	64484
1476	11173	64475
1477	11181	64470
1478	11187	64457
1479	11195	64450
1480	11202	64440
1481	11210	64433
1482	11218	64425
1483	11226	64422
1484	11234	64416
1485	11241	64408
1486	11249	64403
1487	11257	64398
1488	11265	64391
1489	11272	64382
1490	11280	64375
1491	11287	64367
1492	11295	64359
1493	11303	64353
1494	11310	64347
1495	11318	64340
1496	11325	64329
1497	11333	64322
1498	11341	64318
1499	11349	64312
1500	11356	64302
1501	11363	64292
1502	11370	64281
1503	11378	64275
1504	11385	64265
1505	11392	64255
1506	11399	64246
1507	11408	64242
1508	11415	64234
1509	11421	64216
1510	11428	64206
1511	11434	64192
1512	11442	64186
1513	11449	64176
1514	11457	64167
1515	11463	64153
1516	11469	64135
1517	11476	64124
1518	11484	64120
1519	11493	64119
1520	11500	64113
1521	11511	64119
1522	11519	64120
1523	11528	64119
1524	11537	64116
1525	11547	64122
1526	11557	64127
1527	11565	64125
1528	11575	64132
1529	11585	64134
1530	11594	64135
1531	11604	64143
1532	11616	64161
1533	11625	64157
1534	11633	64157
1535	11642	64156
1536	11649	64146
1537	11657	64141
1538	11665	64135
1539	11674	64132
1540	11681	64124
1541	11690	64122
1542	11695	64103
1543	11703	64096
1544	11711	64089
1545	11718	64081
1546	11726	64073
1547	11733	64066
1548	11741	64060
1549	11750	64059
1550	11758	64051
1551	11766	64047
1552	11774	64040
1553	11781	64033
1554	11789	64027
1555	11797	64019
1556	11804	64012
1557	11811	63999
1558	11817	63983
1559	11824	63976
1560	11831	63964
1561	11839	63956
1562	11846	63945
1563	11854	63939
1564	11860	63927
1565	11867	63917
1566	11875	63907
1567	11882	63898
1568	11887	63878
1569	11894	63868
1570	11901	63855
1571	11908	63843
1572	11914	63831
1573	11922	63822
1574	11929	63814
1575	11937	63809
1576	11944	63799
1577	11952	63790
1578	11958	63777
1579	11965	63763
1580	11971	63749
1581	11976	63730
1582	11984	63722
1583	11990	63709
1584	11997	63697
1585	12004	63683
1586	12011	63676
1587	12017	63659
1588	12024	63648
1589	12031	63638
1590	12039	63631
1591	12045	63618
1592	12052	63607
1593	12058	63589
1594	12074	63629
1595	12081	63618
1596	12088	63605
1597	12095	63594
1598	12102	63584
1599	12108	63570
1600	12114	63554
1601	12121	63541
1602	12127	63526
1603	12134	63515
1604	12141	63504
1605	12148	63495
1606	12155	63484
1607	12161	63469
1608	12168	63458
1609	12175	63447
1610	12181	63434
1611	12189	63426
1612	12195	63413
1613	12203	63404
1614	12209	63393
1615	12216	63379
1616	12223	63370
1617	12230	63359
1618	12237	63349
1619	12244	63338
1620	12252	63331
1621	12257	63314
1622	12263	63299
1623	12270	63285
1624	12277	63274
